AÑO,TRIMESTRE,PROVEEDOR,SEGMENTO,TERMINAL,TECNOLOGÍA,No. SUSCRIPTORES
2021,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,496192
2021,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,496192
2021,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,496192
2021,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,123338
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,17903
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,4611
2021,3,AVANTEL S.A.S,Empresas,Data Card,4G,8426
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,71493
2021,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,113682
2021,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,27155
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,62768
2021,3,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2021,3,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,74359
2021,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,114638
2021,1,COLOMBIA MOVIL  S.A ESP,Empresas,,,52844
2021,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,845
2021,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,845
2021,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,845
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,181642
2021,3,PARTNERS TELECOM COLOMBIA SAS,,Data Card,4G,6831
2021,3,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,3G,1
