AÑO,TRIMESTRE,PROVEEDOR,INGRESOS
2021,3,FUNDACION VISION 20/20 COLOMBIA,25574000
2021,3,INTERCOM COMUNICACIONES ISP SAS,1903250
2021,3,WANBRIDGE SAS,147846705
2021,3,H V TELEVISION S.A.S.,19953308201
2021,3,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,1375734057
2021,3,GARAING S.A.S.,14758780
2021,3,SOLUCIONES DIGITALES.COM S.A.S,20190000
2021,2,GPM ELECTROCOM S.A.S.,36320190
2021,3,CYBERNET INTERNET RURAL S.A.S.,17489740
2021,3,TV MAC S.A.S.,126068000
2021,3,VOJ NETWORK CORP S.A.S,557180699
2021,3,INTERCONEXIONES & COMUNICACIONES SAS,142656928
2021,3,DSC TELECOMUNICACIONES S.A.S,1711220
2021,3,GLOBAL DE SERVICIOS COMPANY S.A.S,2600100
2021,3,POWERLINK TELECOMUNICACIONES S.A.S,1080000
2021,3,SISTELINTER S.A.S,14311000
2021,3,IT. TECHNOLOGY R&M S.A.S.,71222500
2020,3,IT. TECHNOLOGY R&M S.A.S.,60271730
2021,3,ACERONETTV SOCIEDAD POR ACCIONES SIMPLIFICADA,3040300
2021,3,TIRIAN TELECOMUNICACIONES S.A.S.,1187602604
2021,3,UFINET COLOMBIA S.A,10511446054
2021,3,ASOCIACION DE COPROPIETARIOS DEL SISTEMA DE TELECOMUNICACIONES VILLAPINZON,9562400
2021,3,FIBERLINKNETWORKS S.A.S,23060238
2021,3,CON�CTATE TELECOMUNICACIONES S.A.S,38923400
2021,3,INVERSIONES ZULUAGA SEJIN S.A.S.,432850324
2021,3,CSSI TELECOMUNICACIONES SAS,62421000
2021,3,MORA COMUNICACIONES SAS,5135288
2021,3,NETWORKS INTERCONNECTED BY EXPERTS COMUNICACIONES S.A.S,198605319
2020,4,CONREDES IM SAS,118886000
2021,3,TELENET DIGITAL S.A.S.,144895363
2021,3,EGA COMUNICACIONES S.A.S.,16246930
2021,3,FIBERNET PLUS S.A.S,50760471
2021,3,GLOBENET CABOS SUBMARINOS COLOMBIA S.A.S.,2394973129
2021,3,NETWORK-TICS SAS,20190000
2021,3,BYC TECNOLOGIA Y SERVICIOS SAS,59350000
2021,3,IMALLI COMUNICACIONES SAS,25100000
2021,2,RADIOCOMUNICACIONES HALCONES DE LA SABANA SOCIEDAD POR ACCIONES SIMPLIFICADA,825940
2021,3,DISTRICABLES LTDA,50770574
2021,3,SMART.NET TELECOMUNICACIONES SAS,25403090
2021,3,LIBRE TECNOLOGIA SAS,36996822
2021,3,INTERCOM TELECOMMUNICATIONS SAS,3950000
2021,3,U2RED S.A.S,17676984
2021,3,ASOCIACION COMUNITARIA DE TELECOMUNICACIONES,306597130
2021,3,RED-DOOPLER SAS,50789600
2021,3,MONTE INGENIERIA S.A.S,47141022
2021,3,DANHER REDES Y SERVICIOS S.A.S.,130149081
2021,3,DRG-SOLUCIONES SAS,29702000
2021,3,WISP INTEGRADORES S.A.S,55156338
2021,3,PROVINET TELECOMUNICACIONES SAS,69535500
2021,3,IT COMUNICACIONES SAS,361976000
2021,1,GLOBAL WEB1 S.A.S,6470000
2021,3,DIRECTV COLOMBIA LTDA,36929838214
2021,2,SIES INGENIERIA Y COMUNICACIONES S.A.S,3443000
2021,3,EMPRESA DE SERVICIOS INALAMBRICOS Y TELECOMUNICACIONES - EMSITEL LTDA.,596217539
2022,4,INTERCOL WISP S.A.S.,250421148
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,102630967208
2020,3,MCA TELECOMUNICACIONES SAS,48345000
2020,3,CNC DEL MAR S.A.S E.S.P,36281522
2020,3,L.C COMUNICACIONES E U,69397329
2021,2,DIUFF.NET TELECOMUNICACIONES SAS,45645999
2021,3,MEDIA COMMERCE PARTNERS S.A.,14557679368
2021,3,TECNOSERVICOM S.A.S.,149290000
2021,3,ASOCIACION TELEVISION DE SUPIA CALDAS,152911000
2021,3,INTERLOOP S.A.S,12254727
2021,3,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,23039753349
2021,3,PIPE COMUNICACIONES S.A.S,80059418
2020,4,SIENERCOM COLOMBIA SAS,6000000
2021,3,RAPILINK S.A.S.,99226000
2021,3,INTERVID TELECOMUNICACIONES S.A.S.,6750000
2021,3,DRAN DIGITAL S.A.S.,13760000
2023,2,PLUSNET TELECOMUNICACIONES S.A.S,26798900
2021,3,WALIX S.A.S.,45829400
2021,3,ALFANET TV S.A.S,181316390
2021,3,INVERSIONES SERURE S.A.S.,5392336
2021,3,COMPA�IA COLOMBIANA DE TELECOMUNICACIONES SAS,268565497
